,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation
0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,53.0,1
1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,67.5,1
2,3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,87.5,1
3,3,Venusaur (Mega Venusaur),Grass,Poison,80,100,123,122,120,80,625,104.17,1
4,4,Charmander,Fire,,39,52,43,60,50,65,309,51.5,1
5,5,Charmeleon,Fire,,58,64,58,80,65,80,405,67.5,1
6,6,Charizard,Fire,Flying,78,84,78,109,85,100,534,89.0,1
7,6,Charizard (Mega Charizard X),Fire,Dragon,78,130,111,130,85,100,634,105.67,1
8,6,Charizard (Mega Charizard Y),Fire,Flying,78,104,78,159,115,100,634,105.67,1
9,7,Squirtle,Water,,44,48,65,50,64,43,314,52.33,1
10,8,Wartortle,Water,,59,63,80,65,80,58,405,67.5,1
11,9,Blastoise,Water,,79,83,100,85,105,78,530,88.33,1
12,9,Blastoise (Mega Blastoise),Water,,79,103,120,135,115,78,630,105.0,1
13,10,Caterpie,Bug,,45,30,35,20,20,45,195,32.5,1
14,11,Metapod,Bug,,50,20,55,25,25,30,205,34.17,1
15,12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,65.83,1
16,13,Weedle,Bug,Poison,40,35,30,20,20,50,195,32.5,1
17,14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,34.17,1
18,15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,65.83,1
19,15,Beedrill (Mega Beedrill),Bug,Poison,65,150,40,15,80,145,495,82.5,1
20,16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,41.83,1
21,17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,58.17,1
22,18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,79.83,1
23,18,Pidgeot (Mega Pidgeot),Normal,Flying,83,80,80,135,80,121,579,96.5,1
24,19,Rattata,Normal,,30,56,35,25,35,72,253,42.17,1
25,19,Rattata (Alolan Rattata),Normal,,30,56,35,25,35,72,253,42.17,1
26,20,Raticate,Normal,Flying,55,81,60,50,70,97,413,68.83,1
27,20,Raticate (Alolan Raticate),Normal,Flying,75,71,70,40,80,77,413,68.83,1
28,21,Spearow,Poison,,40,60,30,31,31,70,262,43.67,1
29,22,Fearow,Poison,,65,90,65,61,61,100,442,73.67,1
30,23,Ekans,Electric,,35,60,44,40,54,55,288,48.0,1
31,24,Arbok,Electric,,60,95,69,65,79,80,448,74.67,1
32,25,Pikachu,Ground,,35,55,40,50,50,90,320,53.33,1
33,25,Pikachu (Partner Pikachu),Ground,,45,80,50,75,60,120,430,71.67,1
34,26,Raichu,Poison,,60,90,55,90,80,110,485,80.83,1
35,26,Raichu (Alolan Raichu),Poison,,60,85,50,95,85,110,485,80.83,1
36,27,Sandshrew,Poison,Ground,50,75,85,20,30,40,300,50.0,1
37,27,Sandshrew (Alolan Sandshrew),Poison,,50,75,90,10,35,40,300,50.0,1
38,28,Sandslash,Poison,,75,100,110,45,55,65,450,75.0,1
39,28,Sandslash (Alolan Sandslash),Poison,Ground,75,100,120,25,65,65,450,75.0,1
40,29,Nidoranâ,Fairy,,55,47,52,40,40,41,275,45.83,1
41,30,Nidorina,Fairy,,70,62,67,55,55,56,365,60.83,1
42,31,Nidoqueen,Fire,,90,92,87,75,85,76,505,84.17,1
43,32,Nidoranâ,Fire,,46,57,40,40,40,50,273,45.5,1
44,33,Nidorino,Normal,Fairy,61,72,57,55,55,65,365,60.83,1
45,34,Nidoking,Normal,Fairy,81,102,77,85,75,85,505,84.17,1
46,35,Clefairy,Poison,Flying,70,45,48,60,65,35,323,53.83,1
47,36,Clefable,Poison,Flying,95,70,73,95,90,60,483,80.5,1
48,37,Vulpix,Grass,Poison,38,41,40,50,65,65,299,49.83,1
49,37,Vulpix (Alolan Vulpix),Grass,Poison,38,41,40,50,65,65,299,49.83,1
50,38,Ninetales,Grass,Poison,73,76,75,81,100,100,505,84.17,1
51,38,Ninetales (Alolan Ninetales),Bug,Grass,73,67,75,81,100,109,505,84.17,1
52,39,Jigglypuff,Bug,Grass,115,45,20,45,25,20,270,45.0,1
53,40,Wigglytuff,Bug,Poison,140,70,45,85,50,45,435,72.5,1
54,41,Zubat,Bug,Poison,40,45,35,30,40,55,245,40.83,1
55,42,Golbat,Ground,,75,80,70,65,75,90,455,75.83,1
56,43,Oddish,Ground,,45,50,55,75,65,30,320,53.33,1
57,44,Gloom,Normal,,60,65,70,85,75,40,395,65.83,1
58,45,Vileplume,Normal,,75,80,85,110,90,50,490,81.67,1
59,46,Paras,Water,,35,70,55,45,55,25,285,47.5,1
60,47,Parasect,Water,,60,95,80,60,80,30,405,67.5,1
61,48,Venonat,Fighting,,60,55,50,40,55,45,305,50.83,1
62,49,Venomoth,Fighting,,70,65,60,90,75,90,450,75.0,1
63,50,Diglett,Fire,,10,55,25,35,45,95,265,44.17,1
64,50,Diglett (Alolan Diglett),Fire,,10,55,30,35,45,90,265,44.17,1
65,51,Dugtrio,Water,,35,100,50,50,70,120,425,70.83,1
66,51,Dugtrio (Alolan Dugtrio),Water,,35,100,60,50,70,110,425,70.83,1
67,52,Meowth,Water,Fighting,40,45,35,40,40,90,290,48.33,1
68,52,Meowth (Alolan Meowth),Psychic,,40,35,35,50,40,90,290,48.33,1
69,52,Meowth (Galarian form),Psychic,,50,65,55,40,40,40,290,48.33,1
70,53,Persian,Psychic,,65,70,60,65,65,115,440,73.33,1
71,53,Persian (Alolan Persian),Psychic,,65,60,60,75,65,115,440,73.33,1
72,54,Psyduck,Fighting,,50,52,48,65,50,55,320,53.33,1
73,55,Golduck,Fighting,,80,82,78,95,80,85,500,83.33,1
74,56,Mankey,Fighting,,40,80,35,35,45,70,305,50.83,1
75,57,Primeape,Grass,Poison,65,105,60,60,70,95,455,75.83,1
76,58,Growlithe,Grass,Poison,55,70,45,70,50,60,350,58.33,1
77,59,Arcanine,Grass,Poison,90,110,80,100,80,95,555,92.5,1
